File Path,Has Permissions,Permission Used,Module,Status
accounting\clients\[id]\statement\page.tsx,YES,"ACCOUNTING_PERMISSIONS.CLIENTS_VIEW_STATEMENT",unknown,OK
accounting\clients\page.tsx,YES,"ACCOUNTING_PERMISSIONS.CLIENTS_VIEW",unknown,OK
accounting\contracts\page.tsx,YES,"ACCOUNTING_PERMISSIONS.CONTRACTS_VIEW",unknown,OK
accounting\donations\page.tsx,YES,"ACCOUNTING_PERMISSIONS.DONATIONS_VIEW",unknown,OK
accounting\fixed-assets\exits\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\inventory-lists\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\inventory-numbers\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\inventory-tables\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\manage\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_MANAGE",unknown,OK
accounting\fixed-assets\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\registers\buildings\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\registers\cultural-goods\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\registers\furniture\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\registers\land\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\registers\library-books\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\registers\modernizations\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\registers\precious-objects\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\registers\religious-books\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\registers\religious-objects\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\fixed-assets\registers\transport\page.tsx,YES,"ACCOUNTING_PERMISSIONS.FIXED_ASSETS_VIEW",unknown,OK
accounting\invoices-received\page.tsx,YES,"ACCOUNTING_PERMISSIONS.INVOICES_VIEW",unknown,OK
accounting\invoices\page.tsx,YES,"ACCOUNTING_PERMISSIONS.INVOICES_VIEW",unknown,OK
accounting\payments\page.tsx,YES,"ACCOUNTING_PERMISSIONS.PAYMENTS_VIEW",unknown,OK
accounting\products\page.tsx,YES,"ACCOUNTING_PERMISSIONS.PRODUCTS_VIEW",unknown,OK
accounting\stock-levels\page.tsx,YES,"ACCOUNTING_PERMISSIONS.STOCK_LEVELS_VIEW",unknown,OK
accounting\stock-movements\page.tsx,YES,"ACCOUNTING_PERMISSIONS.STOCK_MOVEMENTS_VIEW",unknown,OK
accounting\suppliers\page.tsx,YES,"ACCOUNTING_PERMISSIONS.SUPPLIERS_VIEW",unknown,OK
accounting\warehouses\page.tsx,YES,"ACCOUNTING_PERMISSIONS.WAREHOUSES_VIEW",unknown,OK
administration\deaneries\page.tsx,YES,"ADMINISTRATION_PERMISSIONS.DEANERIES_VIEW",unknown,OK
administration\departments\page.tsx,YES,"ADMINISTRATION_PERMISSIONS.DEPARTMENTS_VIEW",unknown,OK
administration\dioceses\page.tsx,YES,"ADMINISTRATION_PERMISSIONS.DIOCESES_VIEW",unknown,OK
administration\email-templates\page.tsx,YES,"ADMINISTRATION_PERMISSIONS.EMAIL_TEMPLATES_VIEW",unknown,OK
administration\global-settings\page.tsx,YES,"ADMINISTRATION_PERMISSIONS.GLOBAL_SETTINGS_VIEW",unknown,OK
administration\notifications\page.tsx,YES,"ADMINISTRATION_PERMISSIONS.NOTIFICATIONS_VIEW",unknown,OK
administration\parishes\page.tsx,YES,"ADMINISTRATION_PERMISSIONS.PARISHES_VIEW",unknown,OK
administration\send-email\page.tsx,YES,"ADMINISTRATION_PERMISSIONS.EMAIL_TEMPLATES_SEND",unknown,OK
administration\send-notification\page.tsx,YES,"ADMINISTRATION_PERMISSIONS.NOTIFICATIONS_SEND",unknown,OK
administration\users\page.tsx,YES,"ADMINISTRATION_PERMISSIONS.USERS_VIEW",unknown,OK
analytics\page.tsx,YES,"ANALYTICS_PERMISSIONS.VIEW",unknown,OK
catechesis\classes\[id]\page.tsx,YES,"CATECHESIS_PERMISSIONS.CLASSES_VIEW",unknown,OK
catechesis\classes\page.tsx,YES,"CATECHESIS_PERMISSIONS.CLASSES_VIEW",unknown,OK
catechesis\lessons\[id]\page.tsx,YES,"CATECHESIS_PERMISSIONS.LESSONS_VIEW",unknown,OK
catechesis\lessons\[id]\view\page.tsx,YES,"CATECHESIS_PERMISSIONS.LESSONS_VIEW",unknown,OK
catechesis\lessons\new\page.tsx,YES,"CATECHESIS_PERMISSIONS.LESSONS_VIEW",unknown,OK
catechesis\lessons\page.tsx,YES,"CATECHESIS_PERMISSIONS.LESSONS_VIEW",unknown,OK
catechesis\page.tsx,YES,"CATECHESIS_PERMISSIONS.CLASSES_VIEW",unknown,OK
catechesis\students\[id]\page.tsx,YES,"CATECHESIS_PERMISSIONS.STUDENTS_VIEW",unknown,OK
catechesis\students\page.tsx,YES,"CATECHESIS_PERMISSIONS.STUDENTS_VIEW",unknown,OK
cemeteries\page.tsx,YES,"CEMETERY_PERMISSIONS.CEMETERIES_READ",unknown,OK
chat\page.tsx,YES,"CHAT_PERMISSIONS.VIEW",unknown,OK
data-statistics\page.tsx,YES,"DATA_STATISTICS_PERMISSIONS.VIEW",unknown,OK
events\baptisms\page.tsx,YES,"EVENTS_PERMISSIONS.VIEW",unknown,OK
events\funerals\page.tsx,YES,"EVENTS_PERMISSIONS.VIEW",unknown,OK
events\page.tsx,YES,"EVENTS_PERMISSIONS.VIEW",unknown,OK
events\weddings\page.tsx,YES,"EVENTS_PERMISSIONS.VIEW",unknown,OK
hr\contracts\page.tsx,YES,"HR_PERMISSIONS.CONTRACTS_VIEW",unknown,OK
hr\employees\page.tsx,YES,"HR_PERMISSIONS.EMPLOYEES_VIEW",unknown,OK
hr\evaluations\page.tsx,YES,"HR_PERMISSIONS.EVALUATIONS_VIEW",unknown,OK
hr\leave-management\page.tsx,YES,"HR_PERMISSIONS.LEAVE_REQUESTS_VIEW",unknown,OK
hr\page.tsx,YES,"HR_PERMISSIONS.EMPLOYEES_VIEW",unknown,OK
hr\positions\page.tsx,YES,"HR_PERMISSIONS.POSITIONS_VIEW",unknown,OK
hr\reports\page.tsx,YES,"HR_PERMISSIONS.REPORTS_VIEW",unknown,OK
hr\salaries\page.tsx,YES,"HR_PERMISSIONS.SALARIES_VIEW",unknown,OK
hr\time-tracking\page.tsx,YES,"HR_PERMISSIONS.TIME_ENTRIES_VIEW",unknown,OK
hr\training\page.tsx,YES,"HR_PERMISSIONS.TRAINING_COURSES_VIEW",unknown,OK
online-forms\[id]\page.tsx,YES,"ONLINE_FORMS_PERMISSIONS.VIEW",unknown,OK
online-forms\[id]\test\page.tsx,YES,"ONLINE_FORMS_PERMISSIONS.VIEW",unknown,OK
online-forms\mapping-datasets\[id]\page.tsx,YES,"ONLINE_FORMS_PERMISSIONS.MAPPING_DATASETS_VIEW",unknown,OK
online-forms\mapping-datasets\new\page.tsx,YES,"ONLINE_FORMS_PERMISSIONS.MAPPING_DATASETS_VIEW",unknown,OK
online-forms\mapping-datasets\page.tsx,YES,"ONLINE_FORMS_PERMISSIONS.MAPPING_DATASETS_VIEW",unknown,OK
online-forms\new\page.tsx,YES,"ONLINE_FORMS_PERMISSIONS.VIEW",unknown,OK
online-forms\page.tsx,YES,"ONLINE_FORMS_PERMISSIONS.VIEW",unknown,OK
page.tsx,YES,"ADMINISTRATION_PERMISSIONS.USERS_VIEW",Dashboard,OK
pangare\inventar\page.tsx,YES,"PANGARE_PERMISSIONS.INVENTAR_VIEW",unknown,OK
pangare\pangar\page.tsx,YES,"PANGARE_PERMISSIONS.VIEW",unknown,OK
pangare\produse\page.tsx,YES,"PANGARE_PERMISSIONS.VIEW",unknown,OK
pangare\utilizatori\page.tsx,YES,"PANGARE_PERMISSIONS.UTILIZATORI_VIEW",unknown,OK
parishioners\birthdays\page.tsx,YES,"PARISHIONERS_PERMISSIONS.BIRTHDAYS_VIEW",unknown,OK
parishioners\contracts\[id]\page.tsx,YES,"PARISHIONERS_PERMISSIONS.CONTRACTS_VIEW",unknown,OK
parishioners\contracts\page.tsx,YES,"PARISHIONERS_PERMISSIONS.CONTRACTS_VIEW",unknown,OK
parishioners\name-days\page.tsx,YES,"PARISHIONERS_PERMISSIONS.NAME_DAYS_VIEW",unknown,OK
parishioners\page.tsx,YES,"PARISHIONERS_PERMISSIONS.VIEW",unknown,OK
parishioners\receipts\page.tsx,YES,"PARISHIONERS_PERMISSIONS.RECEIPTS_VIEW",unknown,OK
parishioners\search\page.tsx,YES,"PARISHIONERS_PERMISSIONS.SEARCH",unknown,OK
parishioners\types\page.tsx,YES,"PARISHIONERS_PERMISSIONS.TYPES_VIEW",unknown,OK
pilgrimages\[id]\accommodation\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
pilgrimages\[id]\documents\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
pilgrimages\[id]\edit\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
pilgrimages\[id]\meals\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
pilgrimages\[id]\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
pilgrimages\[id]\participants\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
pilgrimages\[id]\payments\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
pilgrimages\[id]\schedule\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
pilgrimages\[id]\statistics\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
pilgrimages\[id]\transport\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
pilgrimages\new\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
pilgrimages\page.tsx,YES,"PILGRIMAGES_PERMISSIONS.VIEW",unknown,OK
registry\general-register\[id]\page.tsx,YES,"REGISTRATURA_PERMISSIONS.GENERAL_REGISTER_VIEW",unknown,OK
registry\general-register\new\page.tsx,YES,"REGISTRATURA_PERMISSIONS.GENERAL_REGISTER_VIEW",unknown,OK
registry\general-register\page.tsx,YES,"REGISTRATURA_PERMISSIONS.GENERAL_REGISTER_VIEW",unknown,OK
registry\online-forms\mapping-datasets\[id]\page.tsx,YES,"REGISTRATURA_PERMISSIONS.MAPPING_DATASETS_VIEW",unknown,OK
registry\online-forms\mapping-datasets\new\page.tsx,YES,"REGISTRATURA_PERMISSIONS.MAPPING_DATASETS_VIEW",unknown,OK
registry\online-forms\mapping-datasets\page.tsx,YES,"REGISTRATURA_PERMISSIONS.MAPPING_DATASETS_VIEW",unknown,OK
registry\online-forms\new\page.tsx,YES,"REGISTRATURA_PERMISSIONS.ONLINE_FORMS_VIEW",unknown,OK
registry\online-forms\page.tsx,YES,"REGISTRATURA_PERMISSIONS.ONLINE_FORMS_VIEW",unknown,OK
registry\register-configurations\page.tsx,YES,"REGISTRATURA_PERMISSIONS.REGISTER_CONFIGURATIONS_VIEW",unknown,OK
registry\registratura\configurari-registre\page.tsx,YES,"REGISTRATURA_PERMISSIONS.REGISTER_CONFIGURATIONS_VIEW",unknown,OK
registry\registratura\registrul-general\[id]\page.tsx,YES,"REGISTRATURA_PERMISSIONS.GENERAL_REGISTER_VIEW",unknown,OK
registry\registratura\registrul-general\new\page.tsx,YES,"REGISTRATURA_PERMISSIONS.GENERAL_REGISTER_VIEW",unknown,OK
registry\registratura\registrul-general\page.tsx,YES,"REGISTRATURA_PERMISSIONS.GENERAL_REGISTER_VIEW",unknown,OK
superadmin\email-templates\page.tsx,YES,"ADMINISTRATION_PERMISSIONS.EMAIL_TEMPLATES_VIEW",unknown,OK
superadmin\page.tsx,YES,"SUPERADMIN_PERMISSIONS.ROLES_VIEW",unknown,OK
superadmin\permissions\page.tsx,YES,"SUPERADMIN_PERMISSIONS.PERMISSIONS_VIEW",unknown,OK
superadmin\role-permissions\page.tsx,YES,"SUPERADMIN_PERMISSIONS.ROLE_PERMISSIONS_VIEW",unknown,OK
superadmin\roles\page.tsx,YES,"SUPERADMIN_PERMISSIONS.ROLES_VIEW",unknown,OK
superadmin\user-roles\page.tsx,YES,"SUPERADMIN_PERMISSIONS.USER_ROLES_VIEW",unknown,OK
unauthorized\page.tsx,NO,"",unknown,OK
